"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"19.09.2025","36,35","36,73","36,99","36,35","9,68M","-1,03%"
"18.09.2025","36,73","36,81","36,95","36,41","7,67M","0,05%"
"17.09.2025","36,71","36,79","36,98","36,46","9,53M","-0,16%"
"16.09.2025","36,77","36,73","36,91","36,44","6,04M","0,71%"
"15.09.2025","36,51","36,67","37,03","36,30","6,28M","-1,19%"
"12.09.2025","36,95","36,63","37,00","36,47","4,90M","0,33%"
"11.09.2025","36,83","37,39","37,45","36,71","6,54M","-1,21%"
"10.09.2025","37,28","37,00","37,55","36,96","6,37M","0,81%"
"09.09.2025","36,98","37,26","37,63","36,96","5,38M","-1,23%"
"08.09.2025","37,44","37,86","38,00","37,18","6,05M","-1,08%"
"05.09.2025","37,85","37,55","38,24","37,55","6,11M","1,61%"
"04.09.2025","37,25","37,73","37,95","37,25","8,59M","-1,59%"
"03.09.2025","37,85","37,77","37,86","37,41","8,75M","0,45%"
"02.09.2025","37,68","37,54","38,00","37,47","7,24M","-0,34%"
"01.09.2025","37,81","37,93","37,99","37,50","4,83M","0,40%"
"29.08.2025","37,66","37,86","38,10","37,58","12,72M","-0,42%"
"28.08.2025","37,82","38,00","38,32","37,64","11,59M","0,21%"
"27.08.2025","37,74","37,68","38,07","37,37","7,51M","0,40%"
"26.08.2025","37,59","37,80","37,94","37,37","13,46M","-0,37%"
"25.08.2025","37,73","37,64","37,99","37,46","8,39M","0,61%"
"22.08.2025","37,50","36,15","37,55","35,93","10,64M","4,43%"
"21.08.2025","35,91","35,82","36,29","35,82","4,72M","-0,44%"
"20.08.2025","36,07","35,54","36,07","35,25","7,03M","1,32%"
"19.08.2025","35,60","36,00","36,13","35,37","5,83M","-2,22%"
"18.08.2025","36,41","36,15","36,56","36,08","5,42M","1,22%"
"15.08.2025","35,97","36,80","36,80","35,72","7,17M","-1,43%"
"14.08.2025","36,49","36,43","36,88","36,05","5,80M","-0,35%"
"13.08.2025","36,62","36,62","36,88","36,26","7,99M","0,03%"
"12.08.2025","36,61","37,65","37,65","36,52","6,64M","-1,64%"
"11.08.2025","37,22","38,13","38,17","37,03","9,56M","-2,31%"
"08.08.2025","38,10","38,93","39,34","37,96","7,46M","-2,31%"
"07.08.2025","39,00","38,18","39,63","38,16","14,20M","2,20%"
"06.08.2025","38,16","37,40","38,22","37,32","9,75M","2,77%"
"05.08.2025","37,13","37,07","37,41","36,93","5,73M","0,16%"
"04.08.2025","37,07","37,41","37,79","37,02","6,62M","-0,30%"
"01.08.2025","37,18","37,27","37,32","36,34","16,11M","0,19%"
"31.07.2025","37,11","36,61","37,33","35,90","15,04M","0,71%"
"30.07.2025","36,85","36,65","37,48","35,75","18,97M","0,74%"
"29.07.2025","36,58","37,15","37,94","36,58","14,27M","-0,41%"
"28.07.2025","36,73","36,10","36,73","36,00","11,11M","2,03%"
"25.07.2025","36,00","36,32","36,43","35,77","19,05M","-0,17%"
"24.07.2025","36,06","38,02","38,42","35,91","29,98M","-4,68%"
