"Date",	"Rm_minus_Rf","SMB","HML","WML","IML","Risk_Free"
19/03/2010	,-0.0119854635963176,0.0199558300993429,0.00402601081508675,-0.00368731628610714,0.00903378350490774,0.000329266580131105
22/03/2010	,0.00334773105633137,-0.0115427333368015,-0.00385882963038808,-1.33561713847779e-06,-0.00660718539929915,0.000329266580131105
23/03/2010	,0.00125099605936455,-0.00198026629459983,-0.00153327034647629,0.00203403222365847,-8.7697516111194e-05,0.000329266580131105
24/03/2010	,-0.00657544607189972,0.00336541952921805,-0.00341517050838825,-0.00340156774406183,-0.000536628426794859,0.000329266580131105
25/03/2010	,-0.00607139046994519,0.00427957682069274,-0.00686813075780379,0.00558527532818728,0.00281735204466093,0.000329631916407447
26/03/2010	,0.00214154794515627,-0.0133436506377616,0.00571941896091283,-0.00107736934818192,-0.00961513293939284,0.000329997219196576
29/03/2010	,0.0135668569836709,-0.0188827493297151,-0.00122233621509704,-0.00369512223836443,-0.0098129777981304,0.000329631916407447
30/03/2010	,0.000637034294388837,-0.00556458017923252,0.00698388353217399,-0.00696613813828751,-0.00259601427485078,0.000329631916407447
31/03/2010	,0.00530392133636377,-0.00308778885055509,0.00178148826413342,0.00903636965013457,-0.00613217035001161,0.000329631916407447
01/04/2010	,0.00888380086347909,-0.00912699073041845,-0.00441953942010937,0.0012909962749922,-0.00649103910308813,0.000329997219196576
05/04/2010	,0.00257999285335175,-0.00637292278802425,0.00233988800367793,-0.00370035295322507,-0.00581718722224134,0.000331823231052741
06/04/2010	,-0.00250797689423822,0.00288944549673625,-0.00448087428033399,0.00109115234954487,-0.00246708484944,0.000332918436715568
07/04/2010	,-0.00373537566324582,0.00235048018054381,0.00363825302788441,0.00326523050852307,0.00259482771895691,0.000334378242917488
08/04/2010	,0.0128967815215801,0.00110253013556032,-0.00316254626570153,0.00587590456891609,2.35608010274793e-05,0.000335472746771925
09/04/2010	,-0.00374063445860471,0.00760167322697768,0.00279297608135281,0.0021403574706235,0.00675584471209679,0.000336202249054063
12/04/2010	,-0.0110477666606273,0.00454766411231153,-0.00570419530081156,0.00667683790205793,0.00201223408498577,0.000338025420776544
13/04/2010	,0.000607363479602452,-0.00388724789722142,-0.0103749648578054,-0.0040095625718284,-0.000317823815137266,0.000339847758849432
14/04/2010	,0.00405541661671613,0.00806634060175038,0.00661548018119983,0.00307286421122907,0.0127109442051951,0.000341305029593508
15/04/2010	,-0.00433788347571577,0.00487197558071622,0.00196110695174767,0.00793650291239682,0.00796717117205153,0.000342397633074087
16/04/2010	,-0.0151967716026288,0.00199980284269107,0.00383467322883613,-0.00530040694139328,0.0023433630221873,0.000342397633074087
19/04/2010	,-0.00261016422840769,-0.000542962934427449,-0.00753796804166237,-0.00904261323017547,-0.00232262690785152,0.000344945876934011
20/04/2010	,0.00414033006833696,0.00136925906516917,-0.00726903515600934,0.00636806594795171,-0.00413292106391756,0.000344945876934011
22/04/2010	,-0.00155911217739165,0.00437177968622795,-0.00597406071876422,0.000941353915168604,8.33820714387901e-05,0.000345673647445865
23/04/2010	,0.0023021031065364,0.00334474189378535,-0.000882279264102914,0.000852881595465553,0.00075358217163684,0.000347128789901952
26/04/2010	,-0.00977884548550595,0.0110270672712078,0.00573195364206421,-0.00211989750168651,0.00737332270906353,0.000350037481905874
27/04/2010	,-0.0312367663015564,0.0112317655981794,0.00320873246246716,-0.00721514611134552,0.0113744786236389,0.000350400919189475
28/04/2010	,0.00161231339013133,-0.00587198934602817,-0.00150452428480268,-0.00567753805334501,-0.0116455303430696,0.000352217608641681
29/04/2010	,0.0173391921064916,-0.00681275295731714,-0.00764020366124948,0.0058278490511685,-0.0103141462098344,0.000355485564304869
30/04/2010	,-0.00463754419955241,-0.00647452582402348,-0.0036885138265346,-0.00151861960087861,0.00163086365970131,0.000355485564304869
03/05/2010	,-0.00968169664784363,0.0054705512996132,-0.00136401714781294,0.00806440411262407,0.00576393179271259,0.000356937129365464
04/05/2010	,-0.0305970846938653,0.00867620723357632,0.00691718002192343,0.00406713317171584,0.00689383782622278,0.000358388165939916
05/05/2010	,0.000187232530965721,-0.014642638208519,0.00141371571003181,-0.00308524124083907,-0.0098599846067395,0.000358388165939916
06/05/2010	,-0.0171375090795252,-0.0106047017559697,-0.00679214006348853,-0.0167704705936993,-0.00403676433000856,0.00035875084255288
07/05/2010	,-0.0057462594637685,-0.0130882992281016,-0.0053116938567526,-0.02558937015388,-0.00873330815054854,0.000359113486165352
10/05/2010	,0.033713798990982,0.00032651132874726,-0.00223783882942161,0.0344200401321139,-0.00789952702156499,0.00036092620943462
11/05/2010	,-0.0130088297203858,0.00567197426409266,-0.00092865155171871,-0.00114070194358263,0.00972988639327815,0.000362013447777754
12/05/2010	,0.00864597621288661,0.00416421990783068,0.00290056298987608,0.000702716825725829,0.00338264255853513,0.000363100389605409
13/05/2010	,-0.00540342449162803,0.00513628971379155,-0.00367480519760708,-0.0152401772626741,0.00468788630815712,0.000364187035079233
14/05/2010	,-0.0172539025370969,0.000254939158419419,-0.00520729269371356,-0.0212578246460618,0.0059484956627956,0.000364187035079233
17/05/2010	,-0.00437032154997052,-0.00773991225439091,-0.0117953311431994,-0.00831602936266889,-0.00343982178798685,0.000365635434996348
18/05/2010	,-0.0258414990989726,0.00225128470063009,-0.00373072385886968,-0.00862008566956671,0.00634107476319956,0.000366359437613539
19/05/2010	,-0.0214820566291098,-0.0191195059119286,-0.00758278784392422,-0.0175985667834206,-0.00996989221302595,0.000367083308733696
20/05/2010	,-0.0281879093930102,-0.00486276061528607,0.00309182964027686,0.00760456106052022,-0.00559143624589825,0.000367807048404556
